company,model_name,colour,operating_system,Processor,processor_company,ram/storage,delivery,price_in_Euro
HP,"14s-dq2502na 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Pentium Gold 7505 Processor,Intel,4/128,yes,389
ACER,"Aspire 5 A515-45 15.6"" Laptop ",black,Free Upgrade to Windows 11,AMD Ryzen 7 5700U Processor,AMD,8/256,yes,839
ASUS,"ZenBook 13 UX325EA 13.3"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,16/256,yes,899
LENOVO,"IdeaPad 3 14"" Laptop ",grey,Windows 10 S,AMD Athlon Gold 3150U Processor,AMD,4/128,yes,329
HP,"Spectre x360 13.5"" 2 in 1 Laptop ",black,Free Upgrade to Windows 11,Intel Evo platform,Intel,16/256,yes,1499
ASUS,"E410MA 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/128,yes,269
ACER,"Spin 1 14"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Pentium Silver N6000 processor,Intel,4/128,yes,439
LENOVO,"IdeaPad 3i 17.3"" Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron 6305 Processor,Intel,4/128,yes,409
HP,"Pavilion x360 14-dy0505na 14"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Core i3-1125G4 Processor,Intel,4/256,yes,659
HP,"Pavilion 14-dv0564sa 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,16/256,yes,1079
ASUS,"ZenBook Duo UX482EG 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,32/1000,yes,2039
HP,"Pavilion 14-dv0626sa 14"" Laptop ",silver,Windows 11,Intel Core i3-1115G4 Processor,Intel,4/256,yes,549
DELL,"XPS 13 9310 13.4"" Laptop ",silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,16/256,yes,1399
LENOVO,"Yoga 6 13.3"" 2 in 1 Laptop ",abyss blue fabric,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8/256,yes,899
DELL,"Inspiron 16 Plus 7610 16"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i7-11800H Processor,Intel,16/256,yes,1379
ACER,"Swift 3 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 3 5300U Processor,AMD,8/256,yes,669
LENOVO,"S330 14"" Chromebook ",black,Chrome OS,MediaTek MT8173C Processor,MediaTek,4/64,yes,249
LENOVO,"IdeaPad Flex 3i 11.6"" 2 in 1 Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/64,yes,379
LENOVO,"IdeaPad 3i 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,4/128,yes,449
DELL,"Inspiron 14 5415 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8/256,yes,679
DELL,"XPS 17 9710 17"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i9-11900H Processor,Intel,32/1000,yes,3839
ACER,"Spin 3 13.3"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,yes,999
DELL,"Inspiron 14 5410 14"" 2 in 1 Laptop ",silver,Windows 11,Intel Core i5-1155G7 Processor,Intel,8/256,yes,879
HP,"Pavilion 15-eh0525na 15.6"" Laptop ",blue,Free Upgrade to Windows 11,AMD Athlon Gold 3150U Processor,AMD,4/128,yes,449
LENOVO,"IdeaPad 5iPro 14"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,839
ACER,"Spin 311 11.6"" 2 in 1 Chromebook ",silver,Chrome OS,Intel Celeron N4000 Processor,Intel,4/64,yes,329
HP,"Pavilion 15-eh0524na 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD Athlon Gold 3150U Processor,AMD,4/128,yes,449
ASUS,"VivoBook X705MA 17.3"" Laptop ",grey,Free Upgrade to Windows 11,Intel Pentium Silver N5000 processor,Intel,8/1000,yes,629
LENOVO,"IdeaPad Duet 5 13.3"" 2 in 1 Chromebook ",blue,Chrome OS,Qualcomm Snapdragon 7C Processor,Qualcomm,8/256,yes,659
HP,"ENVY x360 Convert 15-eu0500na 15.6"" 2 in 1 Laptop ",black,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8/256,yes,1049
LENOVO,"IdeaPad Duet 3i 10.3"" 2 in 1 Laptop ",grey,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/64,yes,339
ASUS,"ZenBook UX425EA 14"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,1029
HP,"15s-eq1516sa 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 3 3250U Processor,AMD,4/128,yes,459
HP,"14a-na0509sa 14"" Chromebook ",white,Chrome OS,Intel Pentium Silver N5030 processor,Intel,4/64,yes,389
SAMSUNG,"Galaxy Book Pro 360 13.3"" 2 in 1 Laptop ",mystic navy,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,yes,1099
ACER,"Aspire 5 A514-54 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,659
LENOVO,"IdeaPad 5i Pro 16"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-11300H Processor,Intel,8/256,yes,959
LENOVO,"IdeaPad Duet 10.1"" 2 in 1 Chromebook ",blue & grey,Chrome OS,MediaTek P60T Processor,MediaTek,4/64,yes,299
MICROSOFT,"13"" Surface Pro 8 ",platinum,Windows 11,Intel Core i5-1135G7 Processor,Intel,8/128,yes,1199
HP,"Pavilion 15-eh0511sa 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 5 4500U Processor,AMD,8/256,yes,779.99
DELL,"Inspiron 14 5415 14"" Laptop ",silver,Windows 11,AMD Ryzen 7 5700U Processor,AMD,8/256,yes,879
MICROSOFT,"15"" Surface Laptop 4 ",black,Free Upgrade to Windows 11,Intel Core i7-1185G7 Processor,Intel,16/256,yes,1999
ASUS,"Zenbook Flip UX363EA 13.3"" 2 in 1 Laptop ",grey,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,yes,959
ASUS,"C523 15.6"" Chromebook ",silver,Chrome OS,Intel Celeron N3350 Processor,Intel,4/64,yes,359
DELL,"Inspiron 16 Plus 7610 16"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i7-11800H Processor,Intel,16/1000,yes,1699
HP,"ENVY x360 Convert 13.3"" 2 in 1 Laptop ",silver,Windows 11,Intel Evo platform,Intel,8/256,yes,1199
MICROSOFT,"10.5"" Surface Go 3 ",platinum,Windows 11,Intel Core i3-10100Y Processor,Intel,8/128,yes,649
MICROSOFT,"15"" Surface Laptop 4 ",platinum,Free Upgrade to Windows 11,AMD Ryzen 7 4980U Processor,AMD,8/256,yes,1399
DELL,"Inspiron 14 7415 14"" 2 in 1 Laptop ",blue,Free Upgrade to Windows 11,AMD Ryzen 7 5700U Processor,AMD,16/256,yes,1079
ACER,"Aspire 3 A314-22 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 3 3250U Processor,AMD,4/128,yes,479
ASUS,"C223 11.6"" Chromebook ",red,Chrome OS,Intel Celeron N3350 Processor,Intel,4/256,yes,239
ACER,"Swift 3 14"" Laptop ",blue,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8/1000,yes,799
ASUS,"VivoBook M515UA 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8/256,yes,689
SAMSUNG,"Galaxy Book Pro 15.6"" Laptop ",mystic silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,16/256,yes,1599
MICROSOFT,"13"" Surface Pro 8 ",platinum,Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,1329
APPLE,"MacBook Pro 16"" (2021) ",space grey,macOS 12.0 Monterey,Apple M1 Pro chip,Apple,16/1000,yes,2979
DELL,"XPS 15 9510 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i9-11900H Processor,Intel,32/1000,yes,2799
